E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
77,66,43,83,52,45,93.87907,93.87907,93.87907,93.87907,107.862236,
78,65,44,85,49,43,93.87907,93.87907,93.87907,93.87907,107.98492,
79,65,44,84,49,44,93.87907,93.87907,93.87907,93.87907,107.98492,
76,65,44,85,49,42,93.87907,93.87907,93.87907,93.87907,107.98492,
76,64,42,82,50,44,93.87907,93.87907,93.87907,93.87907,108.190254,
76,68,45,85,50,44,93.87907,93.87907,93.87907,93.87907,108.64353,
76,65,44,85,50,43,93.87907,93.87907,93.87907,93.87907,108.68499,
77,65,44,85,50,43,93.87907,93.87907,93.87907,93.87907,108.64353,
77,65,43,87,51,44,93.87907,93.87907,93.87907,93.87907,108.89332,
77,65,44,86,51,45,93.87907,93.87907,93.87907,93.87907,108.81027,
76,69,45,85,50,44,93.87907,93.87907,93.87907,93.87907,109.52822,
74,65,44,85,49,43,93.87907,93.87907,93.87907,93.87907,112.29169,
56,44,44,85,44,43,93.87907,93.87907,93.87907,93.87907,164.37492,
56,44,47,86,45,44,93.87907,93.87907,93.87907,93.87907,164.99939,
57,44,44,84,44,44,93.87907,93.87907,93.87907,93.87907,164.37492,
56,44,44,85,44,43,93.87907,93.87907,93.87907,93.87907,164.00288,
55,44,43,86,44,44,93.87907,93.87907,93.87907,93.87907,156.587,
55,46,44,85,44,44,93.87907,93.87907,93.87907,93.87907,158.86127,
55,43,42,79,44,44,93.87907,93.87907,93.87907,93.87907,160.02542,
56,43,39,85,44,44,93.87907,93.87907,93.87907,93.87907,158.97766,
56,44,47,87,44,43,93.87907,93.87907,93.87907,93.87907,159.67418,
56,43,44,85,47,45,93.87907,93.87907,93.87907,93.87907,158.97766,
56,43,44,86,44,44,93.87907,93.87907,93.87907,93.87907,160.61252,
55,44,44,83,44,44,93.87907,93.87907,93.87907,93.87907,162.04892,
48,44,44,85,44,43,93.87907,93.87907,93.87907,93.87907,209.36159,
48,44,43,89,45,44,93.87907,93.87907,93.87907,93.87907,209.15562,
49,44,43,86,44,43,93.87907,93.87907,93.87907,93.87907,209.56453,
49,44,47,87,44,43,93.87907,93.87907,93.87907,93.87907,209.97264,
47,44,44,85,44,43,93.87907,93.87907,93.87907,93.87907,210.1794,
48,45,44,85,44,43,93.87907,93.87907,93.87907,93.87907,214.36897,
48,44,43,84,40,44,93.87907,93.87907,93.87907,93.87907,211.62431,
49,43,44,89,45,44,93.87907,93.87907,93.87907,93.87907,214.36897,
50,43,43,85,44,43,93.87907,93.87907,93.87907,93.87907,214.58005,
49,47,45,85,44,43,93.87907,93.87907,93.87907,93.87907,214.58005,
49,42,43,86,44,43,93.87907,93.87907,93.87907,93.87907,211.41937,
