E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
97,91,96,93,95,90,93.87907,93.87907,93.87907,93.87907,102.116455,
96,91,95,91,93,93,93.87907,93.87907,93.87907,93.87907,102.616295,
96,88,94,92,94,98,93.87907,93.87907,93.87907,93.87907,102.315315,
97,88,94,91,93,93,93.87907,93.87907,93.87907,93.87907,102.54977,
96,89,94,91,93,94,93.87907,93.87907,93.87907,93.87907,102.64918,
96,88,93,91,92,89,93.87907,93.87907,93.87907,93.87907,102.64918,
96,88,94,92,93,94,93.87907,93.87907,93.87907,93.87907,102.88675,
96,87,94,93,93,94,93.87907,93.87907,93.87907,93.87907,102.01756,
97,89,94,92,95,94,93.87907,93.87907,93.87907,93.87907,102.28175,
93,89,93,91,93,94,93.87907,93.87907,93.87907,93.87907,102.988846,
95,89,96,91,93,94,93.87907,93.87907,93.87907,93.87907,102.988846,
95,88,94,91,93,93,93.87907,93.87907,93.87907,93.87907,103.19255,
101,87,94,87,92,94,93.87907,93.87907,93.87907,93.87907,153.31483,
95,89,96,90,93,94,93.87907,93.87907,93.87907,93.87907,154.82057,
97,88,94,88,92,93,93.87907,93.87907,93.87907,93.87907,155.04161,
95,88,94,88,92,93,93.87907,93.87907,93.87907,93.87907,155.04161,
96,88,94,89,93,94,93.87907,93.87907,93.87907,93.87907,155.14929,
96,87,89,88,93,94,93.87907,93.87907,93.87907,93.87907,155.25941,
96,88,93,89,94,95,93.87907,93.87907,93.87907,93.87907,155.92061,
97,90,93,88,92,93,93.87907,93.87907,93.87907,93.87907,156.47594,
96,90,94,90,89,95,93.87907,93.87907,93.87907,93.87907,156.14203,
99,85,91,89,93,96,93.87907,93.87907,93.87907,93.87907,156.25523,
95,88,94,89,92,94,93.87907,93.87907,93.87907,93.87907,156.81175,
96,89,94,88,93,95,93.87907,93.87907,93.87907,93.87907,156.81175,
92,88,94,87,93,93,93.87907,93.87907,93.87907,93.87907,206.54233,
93,83,94,87,93,94,93.87907,93.87907,93.87907,93.87907,206.7394,
92,86,96,89,92,94,93.87907,93.87907,93.87907,93.87907,207.13884,
93,88,94,92,94,95,93.87907,93.87907,93.87907,93.87907,207.33965,
93,88,95,89,93,94,93.87907,93.87907,93.87907,93.87907,204.37914,
92,86,93,88,92,95,93.87907,93.87907,93.87907,93.87907,196.33218,
93,90,94,87,93,95,93.87907,93.87907,93.87907,93.87907,193.31783,
93,88,95,88,93,96,93.87907,93.87907,93.87907,93.87907,195.25665,
94,90,95,89,93,95,93.87907,93.87907,93.87907,93.87907,195.25665,
92,88,97,89,92,94,93.87907,93.87907,93.87907,93.87907,196.33218,
90,87,93,87,92,94,93.87907,93.87907,93.87907,93.87907,197.41666,
95,85,93,88,92,93,93.87907,93.87907,93.87907,93.87907,198.51317,
91,87,92,86,91,95,93.87907,93.87907,93.87907,93.87907,262.0019,
90,87,94,88,92,94,93.87907,93.87907,93.87907,93.87907,262.0019,
90,88,93,90,93,94,93.87907,93.87907,93.87907,93.87907,260.46527,
91,87,94,88,93,95,93.87907,93.87907,93.87907,93.87907,262.3139,
91,87,94,88,93,95,93.87907,93.87907,93.87907,93.87907,263.8675,
91,87,93,87,92,93,93.87907,93.87907,93.87907,93.87907,262.3139,
92,88,93,87,92,94,93.87907,93.87907,93.87907,93.87907,263.55765,
94,89,94,87,92,94,93.87907,93.87907,93.87907,93.87907,263.8675,
90,87,94,87,91,89,93.87907,93.87907,93.87907,93.87907,263.8675,
91,87,94,88,95,96,93.87907,93.87907,93.87907,93.87907,264.80933,
90,87,94,87,93,94,93.87907,93.87907,93.87907,93.87907,264.80933,
91,88,94,88,92,94,93.87907,93.87907,93.87907,93.87907,265.75653,
90,87,93,87,95,95,93.87907,93.87907,93.87907,93.87907,311.2988,
90,87,92,86,91,93,93.87907,93.87907,93.87907,93.87907,310.05203,
90,87,94,87,92,94,93.87907,93.87907,93.87907,93.87907,310.05203,
90,83,94,86,93,95,93.87907,93.87907,93.87907,93.87907,312.5577,
90,85,91,87,92,94,93.87907,93.87907,93.87907,93.87907,316.38202,
89,86,89,86,92,94,93.87907,93.87907,93.87907,93.87907,307.99146,
90,86,93,86,87,94,93.87907,93.87907,93.87907,93.87907,310.88342,
92,90,97,83,88,96,93.87907,93.87907,93.87907,93.87907,311.2988,
91,87,93,86,92,94,93.87907,93.87907,93.87907,93.87907,310.05203,
90,90,94,86,92,94,93.87907,93.87907,93.87907,93.87907,310.46863,
92,85,93,86,93,94,93.87907,93.87907,93.87907,93.87907,308.81262,
90,87,93,86,92,89,93.87907,93.87907,93.87907,93.87907,312.5577,
87,87,89,84,92,94,93.87907,93.87907,93.87907,93.87907,346.0147,
87,86,88,86,93,95,93.87907,93.87907,93.87907,93.87907,346.51666,
90,85,90,84,92,93,93.87907,93.87907,93.87907,93.87907,346.51666,
88,87,88,86,91,94,93.87907,93.87907,93.87907,93.87907,347.0167,
88,88,88,85,91,94,93.87907,93.87907,93.87907,93.87907,350.04535,
89,85,89,80,92,94,93.87907,93.87907,93.87907,93.87907,345.51614,
89,86,90,84,93,97,93.87907,93.87907,93.87907,93.87907,348.02155,
88,86,90,84,92,93,93.87907,93.87907,93.87907,93.87907,349.03464,
89,88,90,85,92,94,93.87907,93.87907,93.87907,93.87907,350.04535,
89,86,89,83,91,89,93.87907,93.87907,93.87907,93.87907,351.57898,
88,88,90,85,91,94,93.87907,93.87907,93.87907,93.87907,351.0697,
88,86,89,84,91,93,93.87907,93.87907,93.87907,93.87907,344.0326,
87,87,84,83,92,93,93.87907,93.87907,93.87907,93.87907,401.32285,
