E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
96,88,96,96,96,87,93.87907,93.87907,93.87907,93.87907,102.050255,
96,88,95,97,98,88,93.87907,93.87907,93.87907,93.87907,101.65938,
96,87,96,95,95,87,93.87907,93.87907,93.87907,93.87907,100.86364,
96,88,96,96,94,86,93.87907,93.87907,93.87907,93.87907,101.242966,
98,88,94,95,94,84,93.87907,93.87907,93.87907,93.87907,101.65938,
96,88,96,99,96,88,93.87907,93.87907,93.87907,93.87907,102.54977,
97,89,96,95,95,87,93.87907,93.87907,93.87907,93.87907,102.448105,
97,88,95,95,94,83,93.87907,93.87907,93.87907,93.87907,102.116455,
97,89,96,96,96,86,93.87907,93.87907,93.87907,93.87907,102.116455,
96,88,95,95,95,86,93.87907,93.87907,93.87907,93.87907,102.28175,
96,88,95,94,91,88,93.87907,93.87907,93.87907,93.87907,102.28175,
96,87,95,94,96,86,93.87907,93.87907,93.87907,93.87907,102.08374,
98,89,98,95,96,86,93.87907,93.87907,93.87907,93.87907,155.14929,
96,88,94,95,95,85,93.87907,93.87907,93.87907,93.87907,151.94196,
97,89,95,94,91,87,93.87907,93.87907,93.87907,93.87907,151.63043,
97,89,98,95,95,85,93.87907,93.87907,93.87907,93.87907,154.49727,
94,89,94,95,95,88,93.87907,93.87907,93.87907,93.87907,154.71312,
95,88,95,95,95,85,93.87907,93.87907,93.87907,93.87907,155.70068,
92,89,94,95,95,88,93.87907,93.87907,93.87907,93.87907,158.62994,
96,88,95,95,95,84,93.87907,93.87907,93.87907,93.87907,156.25523,
97,88,95,95,95,85,93.87907,93.87907,93.87907,93.87907,157.37627,
96,90,96,96,95,87,93.87907,93.87907,93.87907,93.87907,158.51381,
97,87,94,94,95,87,93.87907,93.87907,93.87907,93.87907,158.51381,
96,88,94,94,94,85,93.87907,93.87907,93.87907,93.87907,159.67418,
96,88,80,93,95,82,93.87907,93.87907,93.87907,93.87907,206.9398,
96,86,79,93,95,82,93.87907,93.87907,93.87907,93.87907,207.53905,
97,88,78,92,95,81,93.87907,93.87907,93.87907,93.87907,208.54854,
99,89,78,93,95,82,93.87907,93.87907,93.87907,93.87907,208.34338,
98,88,78,93,94,78,93.87907,93.87907,93.87907,93.87907,207.94162,
96,88,78,95,96,82,93.87907,93.87907,93.87907,93.87907,208.54854,
