E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
81,86,95,75,90,83,93.87907,93.87907,93.87907,93.87907,107.141304,
81,86,97,75,92,88,93.87907,93.87907,93.87907,93.87907,107.62057,
80,85,94,72,93,88,93.87907,93.87907,93.87907,93.87907,107.22144,
80,86,95,75,92,88,93.87907,93.87907,93.87907,93.87907,107.70106,
80,86,94,76,92,86,93.87907,93.87907,93.87907,93.87907,107.94456,
80,85,95,75,92,87,93.87907,93.87907,93.87907,93.87907,107.42123,
81,83,94,76,92,88,93.87907,93.87907,93.87907,93.87907,106.945305,
80,86,94,75,92,88,93.87907,93.87907,93.87907,93.87907,107.94456,
81,85,95,75,90,84,93.87907,93.87907,93.87907,93.87907,108.435684,
79,85,95,75,92,86,93.87907,93.87907,93.87907,93.87907,108.435684,
81,84,95,75,92,90,93.87907,93.87907,93.87907,93.87907,108.726456,
80,84,95,75,91,86,93.87907,93.87907,93.87907,93.87907,108.35381,
76,86,95,72,90,80,93.87907,93.87907,93.87907,93.87907,151.94196,
77,86,94,72,91,80,93.87907,93.87907,93.87907,93.87907,152.36101,
77,84,94,73,94,81,93.87907,93.87907,93.87907,93.87907,152.67635,
78,85,95,72,92,80,93.87907,93.87907,93.87907,93.87907,152.67635,
77,84,94,71,92,80,93.87907,93.87907,93.87907,93.87907,153.20844,
79,85,95,72,92,81,93.87907,93.87907,93.87907,93.87907,153.41898,
77,84,94,71,87,81,93.87907,93.87907,93.87907,93.87907,153.63333,
79,85,95,71,91,79,93.87907,93.87907,93.87907,93.87907,153.41898,
77,84,95,72,92,80,93.87907,93.87907,93.87907,93.87907,153.41898,
77,85,95,72,91,80,93.87907,93.87907,93.87907,93.87907,153.63333,
77,87,96,71,92,80,93.87907,93.87907,93.87907,93.87907,154.38885,
77,84,98,72,91,80,93.87907,93.87907,93.87907,93.87907,153.63333,
74,85,95,69,91,76,93.87907,93.87907,93.87907,93.87907,203.21767,
73,83,95,70,91,76,93.87907,93.87907,93.87907,93.87907,203.7968,
75,84,93,65,91,76,93.87907,93.87907,93.87907,93.87907,201.31035,
74,86,95,70,91,76,93.87907,93.87907,93.87907,93.87907,202.06895,
75,84,94,69,93,76,93.87907,93.87907,93.87907,93.87907,201.87943,
75,84,95,68,88,77,93.87907,93.87907,93.87907,93.87907,202.64018,
78,85,95,69,91,76,93.87907,93.87907,93.87907,93.87907,202.64018,
77,84,95,69,91,76,93.87907,93.87907,93.87907,93.87907,202.25867,
76,85,96,71,93,77,93.87907,93.87907,93.87907,93.87907,202.64018,
74,84,94,69,91,79,93.87907,93.87907,93.87907,93.87907,202.25867,
74,83,94,67,91,76,93.87907,93.87907,93.87907,93.87907,203.0255,
74,84,95,68,87,76,93.87907,93.87907,93.87907,93.87907,203.41,
72,83,96,69,91,72,93.87907,93.87907,93.87907,93.87907,255.35532,
73,85,95,67,91,73,93.87907,93.87907,93.87907,93.87907,249.57326,
72,84,97,68,92,74,93.87907,93.87907,93.87907,93.87907,245.94405,
72,86,96,68,92,72,93.87907,93.87907,93.87907,93.87907,246.49445,
71,86,95,67,91,72,93.87907,93.87907,93.87907,93.87907,245.94405,
71,83,94,67,90,70,93.87907,93.87907,93.87907,93.87907,249.57326,
72,84,96,67,91,72,93.87907,93.87907,93.87907,93.87907,249.57326,
73,83,95,65,86,73,93.87907,93.87907,93.87907,93.87907,249.57326,
71,83,97,68,90,72,93.87907,93.87907,93.87907,93.87907,249.85904,
71,87,95,67,91,72,93.87907,93.87907,93.87907,93.87907,249.57326,
71,85,95,67,91,72,93.87907,93.87907,93.87907,93.87907,249.57326,
69,85,96,67,92,73,93.87907,93.87907,93.87907,93.87907,249.57326,
70,55,89,61,90,71,93.87907,93.87907,93.87907,93.87907,304.74017,
68,57,91,63,89,69,93.87907,93.87907,93.87907,93.87907,305.548,
69,57,89,61,89,68,93.87907,93.87907,93.87907,93.87907,306.35565,
68,55,92,62,92,70,93.87907,93.87907,93.87907,93.87907,307.1748,
72,55,90,61,90,71,93.87907,93.87907,93.87907,93.87907,307.5805,
68,54,89,56,89,67,93.87907,93.87907,93.87907,93.87907,304.74017,
69,54,74,56,89,69,93.87907,93.87907,93.87907,93.87907,305.145,
69,55,89,61,88,65,93.87907,93.87907,93.87907,93.87907,306.35565,
69,55,89,61,89,68,93.87907,93.87907,93.87907,93.87907,308.81262,
68,54,73,57,89,68,93.87907,93.87907,93.87907,93.87907,310.05203,
67,53,72,54,88,68,93.87907,93.87907,93.87907,93.87907,310.05203,
67,54,68,55,89,68,93.87907,93.87907,93.87907,93.87907,310.05203,
65,50,48,48,87,66,93.87907,93.87907,93.87907,93.87907,348.52905,
66,52,48,48,88,66,93.87907,93.87907,93.87907,93.87907,346.51666,
65,51,48,48,88,66,93.87907,93.87907,93.87907,93.87907,346.51666,
66,49,46,43,88,66,93.87907,93.87907,93.87907,93.87907,346.51666,
65,50,48,47,86,66,93.87907,93.87907,93.87907,93.87907,346.51666,
65,50,48,48,88,66,93.87907,93.87907,93.87907,93.87907,346.51666,
66,51,48,48,88,66,93.87907,93.87907,93.87907,93.87907,346.51666,
69,50,48,48,88,66,93.87907,93.87907,93.87907,93.87907,347.52008,
65,50,49,49,88,67,93.87907,93.87907,93.87907,93.87907,347.52008,
65,53,49,48,87,66,93.87907,93.87907,93.87907,93.87907,347.52008,
65,50,47,47,88,66,93.87907,93.87907,93.87907,93.87907,348.02155,
66,50,48,47,86,67,93.87907,93.87907,93.87907,93.87907,349.5383,
65,47,46,47,88,65,93.87907,93.87907,93.87907,93.87907,401.96024,
65,47,46,48,87,65,93.87907,93.87907,93.87907,93.87907,403.88458,
64,47,47,47,87,65,93.87907,93.87907,93.87907,93.87907,401.96024,
64,48,46,46,90,65,93.87907,93.87907,93.87907,93.87907,403.238,
64,49,47,47,88,64,93.87907,93.87907,93.87907,93.87907,400.6865,
64,48,46,49,87,65,93.87907,93.87907,93.87907,93.87907,401.96024,
64,48,46,47,88,65,93.87907,93.87907,93.87907,93.87907,400.6865,
64,48,46,48,90,65,93.87907,93.87907,93.87907,93.87907,400.6865,
64,48,47,47,88,65,93.87907,93.87907,93.87907,93.87907,403.88458,
64,48,46,47,88,66,93.87907,93.87907,93.87907,93.87907,401.32285,
65,50,42,49,92,62,93.87907,93.87907,93.87907,93.87907,403.88458,
64,48,46,46,87,64,93.87907,93.87907,93.87907,93.87907,407.11752,
63,47,45,46,87,63,93.87907,93.87907,93.87907,93.87907,446.42892,
63,47,45,46,87,64,93.87907,93.87907,93.87907,93.87907,446.42892,
64,46,46,46,88,64,93.87907,93.87907,93.87907,93.87907,447.18912,
63,47,45,46,87,63,93.87907,93.87907,93.87907,93.87907,449.47058,
63,46,45,45,83,64,93.87907,93.87907,93.87907,93.87907,448.7065,
64,47,46,46,88,64,93.87907,93.87907,93.87907,93.87907,453.31042,
64,43,45,46,84,63,93.87907,93.87907,93.87907,93.87907,454.86942,
63,47,46,50,88,63,93.87907,93.87907,93.87907,93.87907,454.86942,
63,47,45,46,87,63,93.87907,93.87907,93.87907,93.87907,455.64743,
63,46,41,46,87,63,93.87907,93.87907,93.87907,93.87907,457.21448,
64,47,45,46,87,63,93.87907,93.87907,93.87907,93.87907,451.77057,
63,47,45,45,87,63,93.87907,93.87907,93.87907,93.87907,453.31042,
62,46,45,47,88,62,93.87907,93.87907,93.87907,93.87907,510.27368,
62,46,45,45,87,62,93.87907,93.87907,93.87907,93.87907,511.19717,
63,46,46,45,87,63,93.87907,93.87907,93.87907,93.87907,507.47833,
59,46,44,45,87,63,93.87907,93.87907,93.87907,93.87907,512.13794,
62,46,44,44,87,62,93.87907,93.87907,93.87907,93.87907,501.0803,
62,45,44,45,88,62,93.87907,93.87907,93.87907,93.87907,502.8918,
62,46,47,46,87,62,93.87907,93.87907,93.87907,93.87907,505.63873,
62,46,43,45,87,62,93.87907,93.87907,93.87907,93.87907,501.9833,
62,47,45,45,88,63,93.87907,93.87907,93.87907,93.87907,505.63873,
61,46,45,45,87,62,93.87907,93.87907,93.87907,93.87907,505.63873,
62,46,44,43,86,62,93.87907,93.87907,93.87907,93.87907,506.5577,
62,44,41,45,87,62,93.87907,93.87907,93.87907,93.87907,507.47833,
62,45,44,44,88,63,93.87907,93.87907,93.87907,93.87907,497.4692,
62,45,44,44,86,61,93.87907,93.87907,93.87907,93.87907,501.0803,
60,46,44,44,87,62,93.87907,93.87907,93.87907,93.87907,500.16745,
62,45,44,45,87,61,93.87907,93.87907,93.87907,93.87907,501.9833,
61,46,45,45,87,61,93.87907,93.87907,93.87907,93.87907,505.63873,
60,45,46,46,88,62,93.87907,93.87907,93.87907,93.87907,506.5577,
62,45,44,42,87,62,93.87907,93.87907,93.87907,93.87907,506.5577,
62,45,44,44,88,63,93.87907,93.87907,93.87907,93.87907,503.8058,
61,45,44,45,88,62,93.87907,93.87907,93.87907,93.87907,506.5577,
63,46,45,45,89,62,93.87907,93.87907,93.87907,93.87907,501.9833,
63,45,44,44,87,64,93.87907,93.87907,93.87907,93.87907,503.8058,
60,45,44,44,86,60,93.87907,93.87907,93.87907,93.87907,506.5577,
61,45,45,45,87,61,93.87907,93.87907,93.87907,93.87907,447.18912,
