E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
83,84,94,96,95,95,93.87907,93.87907,93.87907,93.87907,106.709755,
82,83,94,96,95,94,93.87907,93.87907,93.87907,93.87907,105.901955,
79,84,95,95,95,95,93.87907,93.87907,93.87907,93.87907,105.675964,
82,84,94,91,96,96,93.87907,93.87907,93.87907,93.87907,106.35944,
82,85,97,96,95,95,93.87907,93.87907,93.87907,93.87907,106.86537,
82,84,94,95,95,94,93.87907,93.87907,93.87907,93.87907,107.34094,
82,81,94,95,94,94,93.87907,93.87907,93.87907,93.87907,107.34094,
83,84,95,95,97,97,93.87907,93.87907,93.87907,93.87907,107.141304,
83,83,95,95,95,95,93.87907,93.87907,93.87907,93.87907,106.74884,
83,85,95,95,95,94,93.87907,93.87907,93.87907,93.87907,106.669876,
83,84,94,96,97,95,93.87907,93.87907,93.87907,93.87907,107.26071,
83,86,97,95,96,95,93.87907,93.87907,93.87907,93.87907,107.902565,
85,84,95,95,95,94,93.87907,93.87907,93.87907,93.87907,155.58907,
82,84,96,96,96,95,93.87907,93.87907,93.87907,93.87907,155.81001,
82,87,95,95,96,95,93.87907,93.87907,93.87907,93.87907,156.03128,
84,85,97,95,95,96,93.87907,93.87907,93.87907,93.87907,155.81001,
82,85,94,96,96,94,93.87907,93.87907,93.87907,93.87907,156.03128,
83,86,97,99,95,97,93.87907,93.87907,93.87907,93.87907,156.14203,
83,83,94,96,94,94,93.87907,93.87907,93.87907,93.87907,156.25523,
82,88,95,96,96,96,93.87907,93.87907,93.87907,93.87907,156.25523,
83,80,95,95,96,95,93.87907,93.87907,93.87907,93.87907,156.25523,
83,84,95,95,95,95,93.87907,93.87907,93.87907,93.87907,156.25523,
82,85,95,95,95,95,93.87907,93.87907,93.87907,93.87907,156.81175,
82,84,95,94,95,95,93.87907,93.87907,93.87907,93.87907,156.14203,
83,84,91,96,95,92,93.87907,93.87907,93.87907,93.87907,203.99124,
82,83,94,94,97,96,93.87907,93.87907,93.87907,93.87907,207.13884,
82,80,95,95,96,95,93.87907,93.87907,93.87907,93.87907,206.14404,
83,85,95,97,96,95,93.87907,93.87907,93.87907,93.87907,207.53905,
81,85,95,96,96,93,93.87907,93.87907,93.87907,93.87907,208.54854,
83,86,95,95,96,94,93.87907,93.87907,93.87907,93.87907,207.13884,
82,84,94,95,95,93,93.87907,93.87907,93.87907,93.87907,206.3423,
83,85,95,95,95,94,93.87907,93.87907,93.87907,93.87907,204.18433,
83,84,95,99,96,94,93.87907,93.87907,93.87907,93.87907,205.74965,
83,87,95,95,95,94,93.87907,93.87907,93.87907,93.87907,206.3423,
79,84,94,95,95,96,93.87907,93.87907,93.87907,93.87907,208.1432,
83,83,93,95,95,94,93.87907,93.87907,93.87907,93.87907,208.1432,
84,86,95,96,95,93,93.87907,93.87907,93.87907,93.87907,249.01219,
83,86,96,96,97,94,93.87907,93.87907,93.87907,93.87907,247.88625,
81,85,94,94,95,91,93.87907,93.87907,93.87907,93.87907,247.6084,
